"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"The Game","100 (feat. Drake)","gangster rap, hip hop, pop rap, rap, southern hip hop","E",334360,39,0.0136,0.28,0.179,0,0.521,108.025,4,-9.871,0.801,0.412
"Mustard","100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)","cali rap, hip hop, pop, pop rap, rap, southern hip hop, trap","A",179387,45,0.0104,0.338,0.0917,0,0.493,93.016,4,-6.775,0.871,0.157
"Logic","100 Miles and Running (ft. Wale & John Lindahl)","conscious hip hop, dmv rap, hip hop, pop rap, rap","G",353453,52,0.579,0.0653,0.38,1.28e-06,0.929,119.047,4,-3.595,0.835,0.96
"Bad Bunny","100 MILLONES","reggaeton, trap latino, urbano latino","Cs",237459,61,0.133,0.452,0.0966,6.57e-06,0.559,169.103,4,-6.936,0.808,0.48
"D'Angelo","1000 Deaths","funk, indie soul, neo soul, soul, urban contemporary","As",349693,33,0.0083,0.24,0.131,0.362,0.807,86.909,4,-9.236,0.642,0.635
"Lady Gaga","1000 Doves","art pop, dance pop, pop","A",215480,50,0.0236,0.0383,0.474,1.07e-05,0.826,122.973,4,-4.466,0.668,0.388
"Ed Sheeran","1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)","pop, uk pop","Gs",212306,49,0.467,0.269,0.0902,0,0.589,98.001,4,-5.548,0.778,0.513
"Capital Bra","100k Cash","german hip hop","As",173352,41,0.289,0.524,0.0883,0,0.714,86.91,4,-5.906,0.701,0.604
"Metro Boomin","10AM/Save The World (feat. Gucci Mane)","rap","Gs",226320,53,0.257,0.239,0.189,0,0.501,136.025,4,-8.84,0.719,0.419
"YUNGBLUD","11 Minutes (with Halsey feat. Travis Barker)","british indie rock, modern rock, rock","B",239507,61,0.0116,0.067,0.108,0,0.852,160.075,4,-3.804,0.464,0.233
"Maluma","11 PM","reggaeton, reggaeton colombiano, urbano latino","As",175733,71,0.217,0.277,0.091,0,0.712,95.692,4,-4.84,0.777,0.68
"Capital Bra","110","german hip hop","Cs",194534,54,0.533,0.432,0.0997,0,0.749,179.056,4,-5.057,0.48,0.419
"Booba","113","french hip hop, old school rap francais, pop urbaine, rap conscient","C",153840,47,0.169,0.0645,0.11,0.0125,0.857,143.953,4,-4.059,0.731,0.26
"Childish Gambino","12.38 (feat. 21 Savage, Ink & Kadhja Bonet)","atl hip hop, hip hop, pop, rap","F",392186,56,0.197,0.16,0.488,4.29e-05,0.524,164.047,4,-9.718,0.691,0.41
"Bad Bunny","120","reggaeton, trap latino, urbano latino","D",151506,73,0.451,0.0676,0.287,7.97e-06,0.656,171.918,4,-5.542,0.636,0.439
"Lana Del Rey","13 Beaches","art pop, pop","G",295569,62,0.539,0.0364,0.163,0.0772,0.389,144.204,4,-9.132,0.333,0.25
"BTS","134340","k-pop, k-pop boy group","B",230063,63,0.155,0.0547,0.173,9.28e-05,0.687,106.023,4,-6.466,0.665,0.651
"Trippie Redd","1400 / 999 Freestyle","melodic rap, rap, trap","Fs",175954,73,0.0079,0.0864,0.113,0,0.572,141.991,4,-6.067,0.825,0.568
"Lil Peep","16 Lines","emo rap, lgbtq+ hip hop","C",244906,66,0.0663,0.0338,0.107,1.12e-05,0.45,105.992,4,-8.507,0.607,0.121
"VIC MENSA","16 Shots","chicago rap, conscious hip hop, hip hop, pop rap, rap, trap, underground hip hop","Fs",345746,30,0.219,0.368,0.104,0,0.693,93.385,4,-7.099,0.512,0.127
"One Direction","18","boy band, pop, post-teen pop, talent show","Fs",248360,78,0.22,0.0313,0.119,0,0.582,124.038,4,-7.76,0.681,0.221
"Logic","1-800-273-8255","conscious hip hop, dmv rap, hip hop, pop rap, rap","F",250173,73,0.569,0.0479,0.19,0,0.574,100.023,4,-7.788,0.62,0.357
"G-Eazy","1942 (feat. Yo Gotti & YBN Nahmir)","hip hop, indie pop rap, oakland hip hop, pop, pop rap, rap","E",213080,56,0.0152,0.249,0.125,0,0.646,162.898,4,-5.12,0.817,0.835
"Jamala","1944","tatar pop, ukrainian indie, ukrainian pop, ukrainian rock","Ds",180839,46,0.596,0.0565,0.24,0.00728,0.506,120.012,4,-5.235,0.809,0.47
"King Princess","1950","alt z, art pop, electropop, indie pop, indie poptimism, nyc pop, pop","E",225133,67,0.648,0.107,0.162,4.7e-06,0.535,71.912,4,-7.043,0.6,0.269
"J. Cole","1985 - Intro to “The Fall Off”","conscious hip hop, hip hop, north carolina hip hop, rap","D",190176,61,0.145,0.445,0.182,0,0.648,94.378,4,-5.892,0.679,0.635
"Charli XCX","1999","art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","G",189000,56,0.0227,0.0329,0.229,1.39e-06,0.742,124.016,4,-4.586,0.739,0.659
"Joji","1AM FREESTYLE","viral pop","C",113066,69,0.748,0.0263,0.12,0.00268,0.541,126.049,4,-6.307,0.615,0.124
"Bring Me The Horizon","1x1 (feat. Nova Twins)","melodic metalcore, metalcore, rock, uk metalcore","Cs",209598,64,0.000209,0.161,0.606,3.61e-06,0.937,164.032,4,-3.346,0.452,0.604
"Lizzo","2 Be Loved (Am I Ready)","dance pop, escape room, minnesota hip hop, pop, trap queen","G",187107,0,0.0922,0.105,0.0817,0,0.769,155.932,4,-4.111,0.721,0.915
"Coleman Hell","2 Heads","canadian pop, indie poptimism, pop rock","C",213706,48,0.0621,0.0367,0.104,0.000324,0.565,120.006,4,-8.515,0.733,0.35
"Justin Bieber","2 Much","canadian pop, pop","A",152796,64,0.593,0.0456,0.353,0,0.444,119.59,4,-8.601,0.583,0.167
"Tinashe","2 On (feat. ScHoolboy Q)","alternative r&b, dance pop, electropop, metropopolis, pop, pop r&b, post-teen pop, r&b, rap, urban contemporary","A",227000,69,0.15,0.107,0.111,0,0.595,101.013,4,-7.51,0.742,0.431
"Kevin Gates","2 Phones","baton rouge rap, pop rap, rap, southern hip hop, trap","G",240000,64,0.157,0.358,0.189,0,0.681,121.918,4,-5.267,0.895,0.554
"Rauw Alejandro","2/Catorce","puerto rican pop, trap latino, urbano latino","Ds",212031,67,0.675,0.224,0.12,1.08e-05,0.455,83.876,4,-5.988,0.54,0.432
"MYA","2:50 Remix","cumbia pop, latin pop, latin viral pop, pop argentino","A",231708,64,0.112,0.0475,0.234,0,0.812,139.966,4,-4.425,0.818,0.844
"Future","200","atl hip hop, rap, southern hip hop, trap","Cs",146986,48,0.00924,0.262,0.201,0,0.65,145.972,4,-6.708,0.84,0.527
"Apache 207","200 km/h","german hip hop","B",163146,64,0.269,0.163,0.105,1.38e-05,0.67,148.065,4,-6.455,0.899,0.413
"Bad Bunny","200 Mph","reggaeton, trap latino, urbano latino","Gs",170509,64,0.0139,0.0665,0.0947,0.000384,0.5,160.02,4,-6.708,0.85,0.816
"Pretenders","2000 Miles - 2007 Remaster","album rock, art rock, classic rock, folk rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, pop rock, rock, soft rock","G",220426,60,0.00292,0.035,0.102,0.0267,0.708,66.214,4,-9.051,0.22,0.453
"Anne-Marie","2002","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop","Cs",186986,77,0.0372,0.117,0.137,0,0.683,96.133,4,-2.881,0.697,0.603
"Sido","2002","german hip hop","Gs",237157,64,0.213,0.236,0.099,0,0.691,160.106,4,-7.907,0.657,0.493
"Mac Miller","2009","hip hop, pittsburgh rap, rap","Fs",347986,65,0.77,0.517,0.0969,0.000164,0.496,155.158,4,-9.363,0.533,0.173
"Bausa","2012","german hip hop","F",170200,50,0.218,0.0771,0.114,0,0.619,98.995,4,-7.907,0.805,0.476
"Lil Baby","2040","atl hip hop, atl trap, rap, trap","B",192920,59,0.0415,0.136,0.112,0,0.697,150.046,4,-4.067,0.744,0.238
"Sleepy Hallow","2055","brooklyn drill, nyc rap","Fs",123986,77,0.492,0.187,0.12,0,0.512,80.511,4,-5.865,0.829,0.638
"Polo G","21","chicago rap, rap","G",163797,73,0.149,0.541,0.101,0,0.479,176.027,4,-10.646,0.783,0.533
"Hunter Hayes","21","contemporary country, country, country road, modern country rock, neo mellow, pop, pop rock, post-teen pop","B",194480,30,0.0586,0.0433,0.218,0,0.9,160.096,4,-4.366,0.501,0.943
"Chefin","212","funk carioca","D",150610,67,0.659,0.0697,0.085,0,0.519,154.037,4,-4.84,0.789,0.857
"Bon Iver","22 (OVER S∞∞N)","eau claire indie, indie folk, melancholia","Cs",168000,50,0.972,0.0351,0.0935,0.106,0.112,86.564,4,-15.767,0.323,0.0996
"Taylor Swift","22 (Taylor's Version)","pop","G",230960,67,0.000443,0.0281,0.0753,1.02e-05,0.695,103.984,4,-5.62,0.642,0.642
"Ultimo","22 settembre","italian adult pop, italian pop","C",230693,51,0.175,0.0369,0.0869,0,0.488,146.82,3,-6.225,0.46,0.341
"YNW Melly","223's (feat. 9lokknine)","melodic rap, trap, viral rap","C",176640,62,0.0388,0.333,0.0924,0,0.547,94.998,4,-7.787,0.932,0.695
"Randy","23 (With Ape Drums)","latin hip hop, perreo, reggaeton, reggaeton flow, urbano latino","Fs",167504,58,0.0424,0.0715,0.468,1.68e-06,0.724,96.058,4,-3.555,0.828,0.896
"Kanye West","24","chicago rap, rap","F",197898,57,0.129,0.0389,0.351,0,0.534,110.057,4,-6.086,0.386,0.343
"Money Man","24 (feat. Lil Baby)","memphis hip hop, rap, southern hip hop, trap","D",182857,63,0.146,0.0736,0.0931,0.0565,0.638,126.03,4,-7.746,0.868,0.459
"Shawn Mendes","24 Hours","canadian pop, dance pop, pop, viral pop","F",150781,52,0.488,0.0557,0.124,0.00603,0.368,84.224,4,-8.132,0.351,0.362
"Samra","24 Stunden","german hip hop","B",174082,46,0.268,0.281,0.124,0,0.715,105.022,4,-6.977,0.79,0.187
"Bruno Mars","24K Magic","dance pop, pop","Cs",225983,76,0.034,0.0797,0.153,0,0.803,106.97,4,-4.282,0.818,0.632
"Roddy Ricch","25 million","melodic rap, rap, trap","A",204626,59,0.019,0.124,0.139,1.09e-06,0.481,132.202,4,-9.258,0.793,0.395
"Bad Bunny","25/8","reggaeton, trap latino, urbano latino","E",243275,67,0.092,0.0549,0.0716,0,0.732,151.982,4,-5.469,0.761,0.542
"Gunna","25k jacket (feat. Lil Baby)","atl hip hop, hip hop, melodic rap, rap, trap","F",120000,64,0.16,0.283,0.129,0,0.537,115.013,4,-6.854,0.903,0.737
"Agust D","28 (feat. NiiHWA)","k-rap","A",133673,61,0.0897,0.0513,0.121,0,0.645,119.934,4,-7.107,0.679,0.349
"Apache 207","28 Liter","german hip hop","Cs",173226,53,0.0785,0.0504,0.099,0.000442,0.552,109.989,4,-6.854,0.81,0.269
"Demi Lovato","29","dance pop, pop, post-teen pop","Cs",163027,65,0.00507,0.0542,0.249,0,0.698,183.963,4,-3.812,0.322,0.288
"Bon Iver","29 #Strafford APTS","eau claire indie, indie folk, melancholia","E",245200,51,0.971,0.0327,0.109,0.408,0.229,80.728,4,-14.678,0.287,0.155
"Sidhu Moose Wala","295","desi hip hop, desi pop, pakistani hip hop, punjabi hip hop","B",270000,74,0.179,0.2,0.106,0,0.794,91.366,4,-5.698,0.557,0.432
"RAF Camora","2CB","german hip hop","As",172288,40,0.456,0.206,0.118,0.39,0.722,125.041,4,-6.456,0.819,0.352
"thasup","2ollipop","italian hip hop, italian pop, trap italiana","G",149305,41,0.31,0.0988,0.0745,0,0.756,160.049,4,-5.402,0.768,0.856
"Ed Sheeran","2step (feat. Chefin)","pop, uk pop","E",164560,53,0.209,0.0695,0.242,0,0.642,94.961,4,-5.106,0.731,0.504
"David Guetta","2U (feat. Justin Bieber)","big room, dance pop, edm, pop, pop dance","Gs",194896,63,0.219,0.0591,0.225,0,0.65,144.937,4,-5.827,0.548,0.557
"Jesse & Joy","3 A.M.","latin arena pop, latin pop, mexican pop","C",183573,65,0.0112,0.0879,0.119,0,0.84,101.99,4,-3.547,0.702,0.624
"Guilherme & Benuto","3 Batidas - Ao Vivo","arrocha","Gs",157186,60,0.611,0.129,0.763,0,0.709,117.581,4,-5.435,0.552,0.527
"Lil Durk","3 Headed Goat (feat. Lil Baby & Polo G)","chicago drill, chicago rap, drill, hip hop, rap, trap","Gs",169531,71,0.269,0.359,0.0989,0,0.48,143.029,4,-8.618,0.846,0.419
"Dominic Fike","3 Nights","alternative pop rock, pop","G",177666,71,0.223,0.0897,0.104,0,0.518,151.891,4,-6.594,0.815,0.877
"Drake","30 for 30 Freestyle","canadian hip hop, canadian pop, hip hop, rap, toronto rap","E",253934,51,0.671,0.398,0.123,0,0.619,89.252,4,-9.143,0.744,0.317
"Kanye West","30 Hours","chicago rap, rap","G",323302,59,0.0359,0.288,0.0886,0,0.813,95.012,4,-6.71,0.823,0.373
"Childish Gambino","3005","atl hip hop, hip hop, pop, rap","Fs",234215,75,0.112,0.289,0.091,0,0.447,83.138,4,-7.272,0.664,0.659
"Shawn Mendes","305","canadian pop, dance pop, pop, viral pop","Fs",189072,58,0.205,0.058,0.122,0.0293,0.869,164.936,4,-5.38,0.562,0.928
"Future","31 DAYS","atl hip hop, rap, southern hip hop, trap","Cs",240682,46,0.267,0.222,0.125,0,0.644,139.086,4,-6.554,0.875,0.788
"Bon Iver","33 “GOD”","eau claire indie, indie folk, melancholia","E",213000,52,0.83,0.0418,0.0937,0.0277,0.392,133.33,4,-10.472,0.469,0.322
"Ariana Grande","34+35","dance pop, pop","C",173710,76,0.237,0.094,0.248,0,0.585,109.978,4,-6.476,0.83,0.485
"Ariana Grande","34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","dance pop, pop","C",182437,62,0.205,0.304,0.227,0,0.662,109.988,4,-5.766,0.88,0.726
"Zedd","365","complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, post-teen pop, tropical house","D",181899,62,0.339,0.034,0.123,0,0.693,98.039,4,-5.479,0.745,0.248
"Samra","365 Tage","german hip hop","Cs",251893,46,0.434,0.463,0.128,0,0.836,87.417,4,-4.848,0.527,0.496
"Halsey","3am","dance pop, electropop, etherpop, indie poptimism, pop","C",234858,53,0.00906,0.0795,0.579,0,0.871,189.76,4,-4.604,0.385,0.538
"21 Savage","3AM on Glenwood","atl hip hop, rap","Cs",178328,66,0.0533,0.398,0.18,6.49e-06,0.692,181.167,4,-8.327,0.475,0.241
"Stray Kids","3RACHA (Bang Chan, Changbin, HAN)","k-pop, k-pop boy group","C",208573,65,0.229,0.301,0.0853,0,0.856,142.068,4,-3.117,0.721,0.627
"2 Chainz","4 AM","atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Cs",255560,61,0.118,0.425,0.155,0,0.5,75.012,4,-7.21,0.796,0.227
"Kid Cudi","4 Da Kidz","hip hop, ohio hip hop, rap","F",184240,49,0.407,0.0589,0.635,0.142,0.602,134.224,5,-9.545,0.41,0.393
"J. Cole","4 Your Eyez Only","conscious hip hop, hip hop, north carolina hip hop, rap","B",530253,64,0.367,0.364,0.0852,6.31e-05,0.485,78.863,4,-10.305,0.701,0.496
"Logic","44 Bars","conscious hip hop, dmv rap, hip hop, pop rap, rap","Fs",182266,58,0.351,0.319,0.198,0,0.628,94.128,4,-8.83,0.728,0.313
"Logic","44 More","conscious hip hop, dmv rap, hip hop, pop rap, rap","As",188600,62,0.0718,0.221,0.106,0,0.584,139.965,4,-7.098,0.824,0.219
"Drake","4422","canadian hip hop, canadian pop, hip hop, rap, toronto rap","B",186293,63,0.558,0.0333,0.113,0.0413,0.229,111.887,4,-12.36,0.609,0.19
"Lil Uzi Vert","444+222","melodic rap, philly rap, rap, trap","As",247347,56,0.0235,0.269,0.101,2.83e-05,0.513,76.997,4,-6.568,0.791,0.481
"21 Savage","4L","atl hip hop, rap","Gs",288364,57,0.000897,0.551,0.108,2.09e-05,0.41,80.011,4,-9.233,0.879,0.0703
"Drake","4pm in Calabasas","canadian hip hop, canadian pop, hip hop, rap, toronto rap","E",240217,54,0.115,0.418,0.101,0,0.66,192.031,4,-4.802,0.743,0.549
"KIDS SEE GHOSTS","4th Dimension","hip hop, rap","Cs",153351,65,0.278,0.39,0.609,1.87e-05,0.542,171.945,4,-6.755,0.765,0.734
"Drake","5 Am in Toronto","canadian hip hop, canadian pop, hip hop, rap, toronto rap","B",205264,55,0.0678,0.265,0.0723,0,0.88,87.195,4,-4.325,0.555,0.391
"Logic","5 Hooks","conscious hip hop, dmv rap, hip hop, pop rap, rap","E",232921,46,0.125,0.243,0.388,0,0.861,86.639,4,-4.114,0.552,0.56
"Charli XCX","5 in the Morning","art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","Cs",169596,42,0.038,0.0464,0.115,0,0.743,108.077,4,-6.761,0.632,0.357
"Travis Scott","5% TINT","rap, slap house","E",196138,74,0.173,0.0487,0.241,0,0.481,140,4,-5.415,0.712,0.062
"Bonez MC","500 PS","german hip hop, hamburg hip hop","G",181971,63,0.391,0.0439,0.0902,0.00448,0.924,139.976,4,-5.883,0.805,0.836
"Arctic Monkeys","505","garage rock, modern rock, permanent wave, rock, sheffield indie","C",253586,82,0.00287,0.0568,0.0945,7.78e-05,0.866,140.266,4,-5.822,0.526,0.248
"Morat","506","colombian pop","C",180546,70,0.00747,0.048,0.338,0,0.864,142.994,4,-5.65,0.544,0.69
"Mora","512","trap latino, urbano latino","E",193636,73,0.348,0.148,0.172,0,0.673,87.961,4,-7.542,0.818,0.695
"Machine Gun Kelly","5150","ohio hip hop, pop, pop rap","B",174848,56,0.000181,0.0973,0.0631,0.00134,0.94,157.994,4,-4.811,0.535,0.536
"ScHoolboy Q","5200","gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop","E",211800,44,0.209,0.413,0.139,0,0.545,127.99,4,-5.185,0.867,0.32
"Booba","5G","french hip hop, old school rap francais, pop urbaine, rap conscient","Fs",188976,37,0.174,0.348,0.0592,0,0.52,126.959,4,-8.581,0.913,0.568
"Don Toliver","5X","pop, rap, trap","Cs",132398,56,0.0402,0.21,0.106,0,0.518,145.082,4,-6.991,0.898,0.798
"J Balvin","6 AM","reggaeton, reggaeton colombiano, urbano latino","F",243226,65,0.152,0.102,0.274,0,0.746,175.965,4,-5.046,0.746,0.733
"Sfera Ebbasta","6 AM","italian hip hop, italian pop, trap italiana, trap latino","Gs",188782,43,0.168,0.0332,0.106,0,0.661,137.048,4,-6.653,0.745,0.807
"Drake","6 God","canadian hip hop, canadian pop, hip hop, rap, toronto rap","D",180666,61,0.0249,0.101,0.125,0,0.623,105.446,4,-8.595,0.868,0.498
"Beyoncé","6 Inch (feat. The Weeknd)","dance pop, pop, r&b","Fs",260440,60,0.0433,0.0632,0.11,3.89e-06,0.637,138.011,4,-8.832,0.516,0.324
"Trippie Redd","6 Kiss","melodic rap, rap, trap","D",199436,62,0.109,0.154,0.282,0,0.449,142.048,4,-10.061,0.687,0.229
"Drake","6 Man","canadian hip hop, canadian pop, hip hop, rap, toronto rap","E",167653,57,0.217,0.513,0.114,0,0.535,83.589,4,-9.306,0.568,0.326
"Chance the Rapper","65th & Ingleside","chicago rap, conscious hip hop, hip hop, pop rap, rap","C",273600,43,0.0394,0.34,0.107,6.39e-06,0.555,99.954,4,-7.038,0.792,0.084
"Lil Yachty","66","atl hip hop, melodic rap, rap, trap, viral rap","F",153474,57,0.0455,0.27,0.213,0.000193,0.723,148.058,4,-4.31,0.667,0.251
"Bon Iver","666 ʇ","eau claire indie, indie folk, melancholia","Cs",252000,45,0.9,0.0337,0.187,0.0297,0.341,110.008,4,-12.356,0.634,0.159
"Fetty Wap","679 (feat. Remy Boyz)","dance pop, new jersey rap, pop, pop rap, rap, southern hip hop, trap","G",196693,70,0.00256,0.318,0.625,0,0.717,190.05,4,-5.738,0.618,0.603
"Drake","6PM In New York","canadian hip hop, canadian pop, hip hop, rap, toronto rap","F",283306,53,0.107,0.251,0.155,0,0.85,128.429,3,-4.155,0.554,0.383
"Ufo361","7","german cloud rap, german hip hop","D",148914,41,0.0147,0.252,0.106,0.0264,0.697,167.997,4,-7.962,0.828,0.629
"Future","7 Am Freestyle","atl hip hop, rap, southern hip hop, trap","C",192906,57,0.0185,0.411,0.149,0,0.401,129.976,4,-8.92,0.951,0.539
"Dean Lewis","7 Minutes","australian pop, pop","As",211453,54,0.526,0.0311,0.149,0,0.739,104.966,4,-6.478,0.613,0.712
"Ariana Grande","7 rings","dance pop, pop","Cs",178626,81,0.592,0.334,0.0881,0,0.317,140.048,4,-10.732,0.778,0.327
"Morgan Wallen","7 Summers","contemporary country","C",210122,59,0.428,0.0336,0.119,4.29e-05,0.774,203.863,4,-5.201,0.457,0.59
"Lukas Graham","7 Years","danish pop, pop, scandipop","As",237300,76,0.287,0.0514,0.391,0,0.473,119.992,4,-5.829,0.765,0.34
"Beyoncé","7/11","dance pop, pop, r&b","A",213506,66,0.0128,0.126,0.126,0,0.705,136.024,4,-5.137,0.747,0.56
"Future","712PM","atl hip hop, rap, southern hip hop, trap","F",173186,66,0.0355,0.271,0.124,0,0.686,146.971,4,-6.409,0.711,0.536
"Bon Iver","715 - CR∑∑KS","eau claire indie, indie folk, melancholia","Gs",132000,49,0.878,0.405,0.17,0,0.161,88.781,3,-11.145,0.461,0.353
